,COUNTY_NAME,datetime,Humidity,Pressure,Temperature,Wind_direction,Wind_speed
3430,New York,2015-11-1,69.16666667,1015.9166666666665,285.20649298333336,206.70833333333331,3.4166666666666665
3431,New York,2015-11-3,63.58333333,1021.6666666666665,285.8900716375,199.20833333333331,1.625
3432,New York,2015-11-7,56.91666667,1015.4583333333335,290.60457803749995,280.2916666666667,3.2916666666666665
3433,New York,2015-11-7,56.91666667,1015.4583333333335,290.60457803749995,280.2916666666667,3.2916666666666665
3434,New York,2015-11-12,81.33333333,1011.4166666666665,285.45518520416664,131.33333333333334,2.4166666666666665
3435,New York,2015-11-12,81.33333333,1011.4166666666665,285.45518520416664,131.33333333333334,2.4166666666666665
3436,New York,2015-11-13,55.33333333,1003.9166666666665,285.93485276666667,255.20833333333331,7.458333333333332
3437,New York,2015-11-14,41.125,1014.8333333333335,281.13819828333334,279.4583333333333,6.708333333333332
3438,New York,2015-11-14,41.125,1014.8333333333335,281.13819828333334,279.4583333333333,6.708333333333332
3439,New York,2015-11-15,53.29166667,1025.0416666666667,279.93925750000005,254.95833333333331,3.9583333333333335
3440,New York,2015-11-19,82.125,1024.2083333333333,288.0405577250001,137.83333333333334,4.208333333333333
3441,New York,2015-11-29,70.41666667,1023.8333333333335,279.02656720833335,75.91666666666667,3.4166666666666665
3442,New York,2015-12-2,92.91666667,1013.375,281.87101137083334,108.0,1.7916666666666667
3443,New York,2015-12-4,60.625,1027.5,280.3292136625,252.58333333333331,3.6666666666666665
3444,San Antonio,2015-9-18,66.83333333,1013.5416666666665,301.7245833333334,167.08333333333334,2.958333333333333
3445,Dallas,2015-1-3,98.20833333,1027.6666666666667,278.82825,154.75,2.958333333333333
3446,Dallas,2015-1-5,90.20833333,1052.2916666666667,270.98160416666667,96.04166666666669,3.208333333333333
3447,Dallas,2015-1-7,75.45833333,1048.4166666666667,274.074,25.08333333333333,6.625
3448,Dallas,2015-1-7,75.45833333,1048.4166666666667,274.074,25.08333333333333,6.625
3449,Dallas,2015-1-8,72.75,1052.5416666666667,268.80510416666664,88.54166666666669,4.625
3450,Dallas,2015-1-8,72.75,1052.5416666666667,268.80510416666664,88.54166666666669,4.625
3451,Dallas,2015-1-9,76.375,1044.5416666666667,271.6125833333333,137.79166666666666,3.9583333333333335
3452,Dallas,2015-1-9,76.375,1044.5416666666667,271.6125833333333,137.79166666666666,3.9583333333333335
3453,Dallas,2015-1-15,79.33333333,1040.125,277.29800000000006,293.875,2.333333333333333
3454,Dallas,2015-1-15,79.33333333,1040.125,277.29800000000006,293.875,2.333333333333333
3455,Dallas,2015-1-16,73.625,1039.2916666666667,278.1872916666667,225.375,1.9583333333333333
3456,Dallas,2015-1-17,72.20833333,1031.5833333333333,282.2409375,218.66666666666663,5.375
3457,Dallas,2015-1-17,72.20833333,1031.5833333333333,282.2409375,218.66666666666663,5.375
3458,Dallas,2015-1-17,72.20833333,1031.5833333333333,282.2409375,218.66666666666663,5.375
3459,Dallas,2015-1-19,51.41666667,1031.5833333333333,284.6663541666666,203.16666666666663,4.041666666666667
3460,Dallas,2015-1-19,51.41666667,1031.5833333333333,284.6663541666666,203.16666666666663,4.041666666666667
3461,Dallas,2015-1-19,51.41666667,1031.5833333333333,284.6663541666666,203.16666666666663,4.041666666666667
3462,Dallas,2015-1-19,51.41666667,1031.5833333333333,284.6663541666666,203.16666666666663,4.041666666666667
3463,Dallas,2015-1-19,51.41666667,1031.5833333333333,284.6663541666666,203.16666666666663,4.041666666666667
3464,Dallas,2015-1-19,51.41666667,1031.5833333333333,284.6663541666666,203.16666666666663,4.041666666666667
3465,Dallas,2015-1-20,68.83333333,1027.5,283.63545833333336,101.20833333333331,1.9583333333333333
3466,Dallas,2015-1-20,68.83333333,1027.5,283.63545833333336,101.20833333333331,1.9583333333333333
3467,Dallas,2015-1-20,68.83333333,1027.5,283.63545833333336,101.20833333333331,1.9583333333333333
3468,Dallas,2015-1-24,87.04166667,1035.0416666666667,278.1798333333333,286.9166666666667,3.625
3469,Dallas,2015-1-24,87.04166667,1035.0416666666667,278.1798333333333,286.9166666666667,3.625
3470,Dallas,2015-1-25,72.58333333,1029.625,281.6956666666667,276.625,5.5
3471,Dallas,2015-1-26,66.45833333,1034.9166666666667,281.2985208333334,292.9166666666667,3.4166666666666665
3472,Dallas,2015-1-26,66.45833333,1034.9166666666667,281.2985208333334,292.9166666666667,3.4166666666666665
3473,Dallas,2015-1-26,66.45833333,1034.9166666666667,281.2985208333334,292.9166666666667,3.4166666666666665
3474,Dallas,2015-1-27,63.70833333,1032.7916666666667,285.36608333333334,215.375,1.7083333333333333
3475,Dallas,2015-1-27,63.70833333,1032.7916666666667,285.36608333333334,215.375,1.7083333333333333
3476,Dallas,2015-1-27,63.70833333,1032.7916666666667,285.36608333333334,215.375,1.7083333333333333
3477,Dallas,2015-1-27,63.70833333,1032.7916666666667,285.36608333333334,215.375,1.7083333333333333
3478,Dallas,2015-1-27,63.70833333,1032.7916666666667,285.36608333333334,215.375,1.7083333333333333
3479,Dallas,2015-1-28,60.625,1032.2083333333333,287.88852083333336,168.08333333333334,3.583333333333333
3480,Dallas,2015-1-28,60.625,1032.2083333333333,287.88852083333336,168.08333333333334,3.583333333333333
3481,Dallas,2015-1-28,60.625,1032.2083333333333,287.88852083333336,168.08333333333334,3.583333333333333
3482,Dallas,2015-1-29,42.04166667,1033.4166666666667,290.65816666666666,134.83333333333334,6.5
3483,Dallas,2015-1-29,42.04166667,1033.4166666666667,290.65816666666666,134.83333333333334,6.5
3484,Dallas,2015-1-29,42.04166667,1033.4166666666667,290.65816666666666,134.83333333333334,6.5
3485,Dallas,2015-1-30,52.125,1043.9166666666667,283.12320833333325,46.70833333333334,5.0
3486,Dallas,2015-1-30,52.125,1043.9166666666667,283.12320833333325,46.70833333333334,5.0
3487,Dallas,2015-1-30,52.125,1043.9166666666667,283.12320833333325,46.70833333333334,5.0
3488,Dallas,2015-1-30,52.125,1043.9166666666667,283.12320833333325,46.70833333333334,5.0
3489,Dallas,2015-1-30,52.125,1043.9166666666667,283.12320833333325,46.70833333333334,5.0
3490,Dallas,2015-1-31,61.08333333,1036.7083333333333,282.1020416666668,115.375,4.125
3491,Dallas,2015-2-1,92.04166667,1026.7083333333333,285.60927083333337,236.33333333333331,6.875
3492,Dallas,2015-2-1,92.04166667,1026.7083333333333,285.60927083333337,236.33333333333331,6.875
3493,Dallas,2015-2-1,92.04166667,1026.7083333333333,285.60927083333337,236.33333333333331,6.875
3494,Dallas,2015-2-2,93.33333333,1041.4583333333333,272.88766666666663,245.54166666666663,5.958333333333332
3495,Dallas,2015-2-3,81.625,1039.5,275.79091666666665,156.58333333333334,2.6666666666666665
3496,Dallas,2015-2-6,85.04166667,1042.0416666666667,276.9172291666667,196.5,2.4166666666666665
3497,Dallas,2015-2-6,85.04166667,1042.0416666666667,276.9172291666667,196.5,2.4166666666666665
3498,Dallas,2015-2-6,85.04166667,1042.0416666666667,276.9172291666667,196.5,2.4166666666666665
3499,Dallas,2015-2-7,80.625,1031.75,283.48774999999995,188.54166666666663,6.25
3500,Dallas,2015-2-8,65.875,1023.875,290.06779166666666,168.08333333333334,5.958333333333332
3501,Dallas,2015-2-8,65.875,1023.875,290.06779166666666,168.08333333333334,5.958333333333332
3502,Dallas,2015-2-9,65.95833333,1030.5416666666667,287.1187708333334,171.04166666666666,2.708333333333333
3503,Dallas,2015-2-9,65.95833333,1030.5416666666667,287.1187708333334,171.04166666666666,2.708333333333333
3504,Dallas,2015-2-10,67.625,1030.9166666666667,286.020125,101.5,4.083333333333333
3505,Dallas,2015-2-12,58.875,1041.375,281.88920833333333,21.08333333333333,6.208333333333332
3506,Dallas,2015-2-12,58.875,1041.375,281.88920833333333,21.08333333333333,6.208333333333332
3507,Dallas,2015-2-12,58.875,1041.375,281.88920833333333,21.08333333333333,6.208333333333332
3508,Dallas,2015-2-13,64.66666667,1040.375,279.8524166666666,125.20833333333331,2.7916666666666665
3509,Dallas,2015-2-13,64.66666667,1040.375,279.8524166666666,125.20833333333331,2.7916666666666665
3510,Dallas,2015-2-13,64.66666667,1040.375,279.8524166666666,125.20833333333331,2.7916666666666665
3511,Dallas,2015-2-14,63.0,1035.75,284.81466666666665,181.0,2.0416666666666665
3512,Dallas,2015-2-14,63.0,1035.75,284.81466666666665,181.0,2.0416666666666665
3513,Dallas,2015-2-14,63.0,1035.75,284.81466666666665,181.0,2.0416666666666665
3514,Dallas,2015-2-15,64.5,1031.7916666666667,287.99629166666665,181.04166666666663,4.375
3515,Dallas,2015-2-17,82.79166667,1037.0416666666667,274.98516666666666,185.58333333333331,3.6666666666666665
3516,Dallas,2015-2-17,82.79166667,1037.0416666666667,274.98516666666666,185.58333333333331,3.6666666666666665
3517,Dallas,2015-2-17,82.79166667,1037.0416666666667,274.98516666666666,185.58333333333331,3.6666666666666665
3518,Dallas,2015-2-18,81.66666667,1039.25,277.8856875,166.0,2.1666666666666665
3519,Dallas,2015-2-18,81.66666667,1039.25,277.8856875,166.0,2.1666666666666665
3520,Dallas,2015-2-18,81.66666667,1039.25,277.8856875,166.0,2.1666666666666665
3521,Dallas,2015-2-19,64.54166667,1040.7916666666667,278.87502083333334,119.75,5.0
3522,Dallas,2015-2-19,64.54166667,1040.7916666666667,278.87502083333334,119.75,5.0
3523,Dallas,2015-2-20,73.875,1028.5833333333333,287.11883333333327,174.20833333333337,7.416666666666668
3524,Dallas,2015-2-21,63.375,1021.5,291.3287291666667,238.91666666666663,7.791666666666668
3525,Dallas,2015-2-21,63.375,1021.5,291.3287291666667,238.91666666666663,7.791666666666668
3526,Dallas,2015-2-21,63.375,1021.5,291.3287291666667,238.91666666666663,7.791666666666668
3527,Dallas,2015-2-21,63.375,1021.5,291.3287291666667,238.91666666666663,7.791666666666668
3528,Dallas,2015-2-22,80.875,1034.0,280.9814791666667,56.79166666666666,6.291666666666668
3529,Dallas,2015-2-22,80.875,1034.0,280.9814791666667,56.79166666666666,6.291666666666668
3530,Dallas,2015-2-23,99.95833333,1047.25,272.72427083333326,17.75,7.0
3531,Dallas,2015-2-24,99.66666667,1041.5,271.126125,228.04166666666663,2.6666666666666665
3532,Dallas,2015-2-25,98.5,1029.2083333333333,273.1625208333334,203.375,1.4166666666666667
3533,Dallas,2015-3-1,100.0,1041.1666666666667,275.18791666666664,27.45833333333333,3.25
3534,Dallas,2015-3-6,88.16666667,1049.3333333333333,269.40464583333335,220.08333333333331,1.5
3535,Dallas,2015-3-9,99.75,1031.625,281.8062500000001,102.375,3.083333333333333
3536,Dallas,2015-3-10,97.54166667,1028.2916666666667,283.84516666666667,246.875,2.708333333333333
3537,Dallas,2015-3-10,97.54166667,1028.2916666666667,283.84516666666667,246.875,2.708333333333333
3538,Dallas,2015-3-15,83.29166667,1036.875,288.7565416666667,29.08333333333333,3.75
3539,Dallas,2015-3-15,83.29166667,1036.875,288.7565416666667,29.08333333333333,3.75
3540,Dallas,2015-3-16,81.25,1036.5416666666667,288.68435416666665,172.95833333333337,1.5833333333333333
3541,Dallas,2015-3-20,93.70833333,1030.8333333333333,290.12185416666665,55.66666666666666,3.5416666666666665
3542,Dallas,2015-3-23,87.75,1031.5,288.0956875,143.83333333333334,1.9166666666666667
3543,Dallas,2015-3-24,73.66666667,1027.0833333333333,292.15358333333336,178.5,5.625
3544,Dallas,2015-3-24,73.66666667,1027.0833333333333,292.15358333333336,178.5,5.625
3545,Dallas,2015-3-24,73.66666667,1027.0833333333333,292.15358333333336,178.5,5.625
3546,Dallas,2015-3-25,63.33333333,1024.4166666666667,295.19952083333334,190.54166666666663,5.375
3547,Dallas,2015-3-27,65.25,1033.9166666666667,284.89383333333336,197.70833333333331,3.7916666666666665
3548,Dallas,2015-3-28,63.875,1032.25,288.09454166666666,133.45833333333334,3.7916666666666665
3549,Dallas,2015-3-28,63.875,1032.25,288.09454166666666,133.45833333333334,3.7916666666666665
3550,Dallas,2015-3-29,51.29166667,1028.625,293.232,174.91666666666663,5.75
3551,Dallas,2015-3-30,59.125,1029.625,294.9961666666667,149.29166666666666,4.625
3552,Dallas,2015-3-31,63.25,1027.9583333333333,295.15302083333336,198.0,3.625
3553,Dallas,2015-4-1,67.875,1024.9166666666667,295.6717083333333,195.91666666666663,4.75
3554,Dallas,2015-4-2,67.25,1022.75,297.44085416666667,192.79166666666663,8.166666666666666
3555,Dallas,2015-4-2,67.25,1022.75,297.44085416666667,192.79166666666663,8.166666666666666
3556,Dallas,2015-4-2,67.25,1022.75,297.44085416666667,192.79166666666663,8.166666666666666
3557,Dallas,2015-4-2,67.25,1022.75,297.44085416666667,192.79166666666663,8.166666666666666
3558,Dallas,2015-4-2,67.25,1022.75,297.44085416666667,192.79166666666663,8.166666666666666
3559,Dallas,2015-4-2,67.25,1022.75,297.44085416666667,192.79166666666663,8.166666666666666
3560,Dallas,2015-4-2,67.25,1022.75,297.44085416666667,192.79166666666663,8.166666666666666
3561,Dallas,2015-4-3,61.70833333,1024.7916666666667,297.6451875,218.375,8.041666666666666
3562,Dallas,2015-4-3,61.70833333,1024.7916666666667,297.6451875,218.375,8.041666666666666
3563,Dallas,2015-4-4,56.58333333,1038.7916666666667,288.01975,49.79166666666666,6.0
3564,Dallas,2015-4-6,90.04166667,1025.9166666666667,292.16379166666667,173.29166666666663,5.666666666666668
3565,Dallas,2015-4-8,65.08333333,1025.4583333333333,298.2626458333333,192.04166666666663,6.833333333333332
3566,Dallas,2015-4-9,67.0,1022.6666666666665,297.81029166666667,197.95833333333331,8.125
3567,Dallas,2015-4-9,67.0,1022.6666666666665,297.81029166666667,197.95833333333331,8.125
