,STATE,COUNTY_NAME,datetime,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,humidity
3121,TX,Dallas,2015-8-25,2,Equipment Use,,A,32.678372499999995,-96.58901800000001,62.875
3122,TX,Dallas,2015-8-26,2,Equipment Use,,A,32.7398316,-96.8384088,60.20833333
3123,TX,Dallas,2015-8-27,2,Equipment Use,,A,32.8671897,-96.89581069,42.70833333
3124,TX,Dallas,2015-8-27,2,Equipment Use,,A,32.662101,-96.8442579,42.70833333
3125,TX,Dallas,2015-8-28,2,Equipment Use,,A,32.6743429,-96.6177611,50.79166667
3126,TX,Dallas,2015-8-28,2,Equipment Use,,A,32.8077213,-96.86914809,50.79166667
3127,TX,Dallas,2015-8-29,2,Equipment Use,,A,32.897030900000004,-96.7137027,49.45833333
3128,TX,Dallas,2015-9-1,2,Equipment Use,,A,32.74661469,-96.75374629,55.33333333
3129,TX,Dallas,2015-9-1,2,Equipment Use,,A,32.6630816,-96.9302079,55.33333333
3130,TX,Dallas,2015-9-2,2,Equipment Use,,A,32.7572403,-96.77286129,59.16666667
3131,TX,Dallas,2015-9-2,2,Equipment Use,,A,32.9327889,-96.81130889,59.16666667
3132,TX,Dallas,2015-9-2,2,Equipment Use,,A,32.909482399999995,-96.8468689,59.16666667
3133,TX,Dallas,2015-9-2,2,Equipment Use,,A,32.6802725,-96.6774613,59.16666667
3134,TX,Dallas,2015-9-2,2,Equipment Use,,A,32.6481228,-96.84326390000001,59.16666667
3135,TX,Dallas,2015-9-4,2,Equipment Use,,A,32.803119699999996,-96.6969669,57.04166667
3136,TX,Dallas,2015-9-4,2,Equipment Use,,A,32.706608100000004,-96.75106269,57.04166667
3137,TX,Dallas,2015-9-5,2,Equipment Use,,A,32.74661469,-96.75374629,60.5
3138,TX,Dallas,2015-9-5,2,Equipment Use,,A,32.8660375,-96.7635291,60.5
3139,TX,Dallas,2015-11-9,2,Equipment Use,,A,32.6849626,-96.67403,58.79166667
3140,TX,Houston,2015-3-28,2,Equipment Use,,A,31.242572999999997,-95.445024,52.04166667
3141,TX,Houston,2015-8-6,2,Equipment Use,,B,31.339008000000003,-95.544913,70.5
3142,TX,Houston,2015-8-13,2,Equipment Use,,B,31.296481,-95.4619584,64.16666667
3143,TX,Houston,2015-10-5,2,Equipment Use,,C,31.545690000000004,-95.53220300000001,70.54166667
3144,TX,Houston,2015-10-12,2,Equipment Use,,B,31.464457,-95.5708,77.16666667
3145,TX,Houston,2015-9-4,2,Equipment Use,,B,31.297561100000003,-95.5436235,82.29166667
3146,TX,Houston,2015-9-15,2,Equipment Use,,B,31.200995000000002,-95.36596899999999,74.70833333
3147,TX,Houston,2015-7-16,2,Equipment Use,,A,31.4757,-95.18299999999999,76.29166667
3148,TX,Houston,2015-7-22,2,Equipment Use,,B,31.5046,-95.1448,75.16666667
3149,TX,Houston,2015-10-18,2,Equipment Use,,C,31.4812,-95.1447,44.25
3150,NY,New York,2015-5-7,3,Smoking,128.0,A,40.8372,-73.9367,59.29166667
3151,NY,New York,2015-5-7,3,Smoking,128.0,A,40.8372,-73.9367,59.29166667
3152,NY,New York,2015-5-7,3,Smoking,128.0,A,40.724000000000004,-74.0024,59.29166667
3153,NY,New York,2015-5-7,3,Smoking,128.0,A,40.7166,-73.9759,59.29166667
3154,NY,New York,2015-5-13,3,Smoking,134.0,A,40.8332,-73.9392,42.45833333
3155,NY,New York,2015-5-13,3,Smoking,134.0,A,40.85,-73.9432,42.45833333
3156,NY,New York,2015-5-13,3,Smoking,134.0,A,40.8298,-73.9397,42.45833333
3157,NY,New York,2015-9-16,3,Smoking,260.0,A,40.8471,-73.9285,65.95833333
3158,NY,New York,2015-10-6,3,Smoking,280.0,A,40.8625,-73.9342,76.16666667
3159,TX,Dallas,2015-9-9,3,Smoking,,A,32.766513399999994,-96.86153639,70.16666667
3160,TX,Dallas,2015-11-7,3,Smoking,,A,32.7327382,-96.64818299999999,75.625
3161,TX,Houston,2015-7-18,3,Smoking,,A,31.336385999999997,-95.65209399999999,73.33333333
3162,FL,Miami,2015-2-15,4,Campfire,46.0,C,25.9246,-80.2584,77.33333333
3163,FL,Miami,2015-3-1,4,Campfire,61.0,B,25.7696,-80.3158,79.04166667
3164,FL,Miami,2015-4-27,4,Campfire,118.0,B,25.7626,-80.4193,83.95833333
3165,NY,New York,2015-5-30,4,Campfire,151.0,A,40.85,-73.9432,70.16666667
3166,FL,Miami,2015-6-7,4,Campfire,159.0,B,25.7249,-80.1482,93.58333333
3167,NY,New York,2015-10-23,4,Campfire,297.0,B,40.8587,-73.923,49.625
3168,NY,New York,2015-12-20,4,Campfire,355.0,A,40.8577,-73.9351,44.16666667
3169,TX,Houston,2015-10-10,4,Campfire,,A,31.378427000000002,-95.450227,72.33333333
3170,TX,Houston,2015-2-9,5,Debris Burning,40.0,C,31.48963333,-95.20641667,76.04166667
3171,FL,Miami,2015-2-13,5,Debris Burning,44.0,B,25.4706,-80.5149,74.625
3172,PA,Pittsburgh,2015-3-28,5,Debris Burning,88.0,A,40.65184,-79.79949,57.83333333
3173,FL,Miami,2015-3-28,5,Debris Burning,88.0,B,25.6441,-80.518,77.20833333
3174,PA,Pittsburgh,2015-4-5,5,Debris Burning,96.0,B,40.53556,-79.92556,51.125
3175,MA,Boston,2015-4-6,5,Debris Burning,97.0,A,42.4084,-71.0119,83.95833333
3176,PA,Pittsburgh,2015-4-11,5,Debris Burning,102.0,B,40.593059999999994,-79.86721999999999,66.45833333
3177,PA,Pittsburgh,2015-4-17,5,Debris Burning,108.0,B,40.66167,-80.12666999999999,89.04166667
3178,MN,Minneapolis,2015-5-20,5,Debris Burning,141.0,C,45.04967306,-93.6648172,64.375
3179,FL,Miami,2015-5-21,5,Debris Burning,142.0,B,25.5365,-80.3993,81.79166667
3180,NY,New York,2015-5-23,5,Debris Burning,144.0,A,40.797,-73.9491,46.75
3181,NY,New York,2015-5-23,5,Debris Burning,144.0,A,40.863,-73.9334,46.75
3182,NY,New York,2015-5-25,5,Debris Burning,146.0,A,40.8298,-73.9397,52.83333333
3183,NY,New York,2015-5-25,5,Debris Burning,146.0,A,40.8381,-73.9363,52.83333333
3184,NY,New York,2015-5-25,5,Debris Burning,146.0,A,40.8264,-73.9504,52.83333333
3185,FL,Jacksonville,2015-6-16,5,Debris Burning,168.0,B,30.2004,-81.9704,65.0
3186,NY,New York,2015-7-8,5,Debris Burning,190.0,A,40.8298,-73.9516,76.29166667
3187,FL,Miami,2015-7-22,5,Debris Burning,204.0,B,25.4882,-80.5624,76.16666667
3188,TX,Houston,2015-7-28,5,Debris Burning,210.0,B,31.27528333,-95.47886667,69.29166667
3189,TX,Houston,2015-8-29,5,Debris Burning,242.0,D,31.27018333,-95.15701667,71.04166667
3190,TX,Houston,2015-9-19,5,Debris Burning,263.0,C,31.20438333,-95.49948333,76.54166667
3191,NY,New York,2015-11-3,5,Debris Burning,308.0,B,40.8381,-73.9363,63.58333333
3192,PA,Pittsburgh,2015-11-4,5,Debris Burning,309.0,B,40.378890000000006,-79.92194,64.66666667
