STATE,COUNTY_NAME,datetime,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,humidity
CA,San Diego,2012-11-22,2,Equipment Use,327,A,34.59361111,-118.7122222,
CA,San Diego,2012-2-10,4,Campfire,41,A,34.37472222,-117.7002778,
CA,San Diego,2012-8-9,1,Lightning,222,A,34.44472222,-118.0688889,
CA,San Diego,2012-4-22,9,Miscellaneous,113,A,34.26777778,-118.1394444,
CA,San Diego,2012-9-14,9,Miscellaneous,258,B,34.67055556,-118.3552778,
CA,San Diego,2012-5-19,7,Arson,140,B,34.31722222,-117.8469444,
CA,San Diego,2012-9-28,2,Equipment Use,272,A,34.5575,-118.6738889,
CA,San Diego,2012-5-18,2,Equipment Use,139,B,34.42805556,-118.4047222,
CA,San Diego,2012-8-17,8,Children,230,A,34.46861111,-118.1177778,
CA,San Diego,2012-8-30,1,Lightning,243,B,34.42833333,-117.7119444,
CA,San Diego,2012-2-1,9,Miscellaneous,32,A,34.27055556,-118.3527778,
CA,San Diego,2012-2-2,2,Equipment Use,33,B,34.72333333,-118.7988889,
CA,San Diego,2012-8-29,1,Lightning,242,C,34.43361111,-117.7686111,
CA,San Diego,2012-9-1,1,Lightning,245,A,34.35444444,-117.6869444,
CA,San Diego,2012-3-15,2,Equipment Use,75,A,34.22083333,-118.2086111,
CA,San Diego,2012-8-30,1,Lightning,251,B,34.29166667,-117.7027778,
CA,San Diego,2012-8-30,1,Lightning,243,A,34.48305556,-117.9955556,
CA,San Diego,2012-9-20,9,Miscellaneous,264,A,34.54777778,-118.6669444,
CA,San Diego,2012-7-30,9,Miscellaneous,212,B,34.49694444,-118.6055556,
CA,San Diego,2012-1-28,2,Equipment Use,28,A,34.54555556,-118.6636111,
CA,San Diego,2012-9-2,2,Equipment Use,246,A,34.43222222,-118.0911111,
CA,San Diego,2012-8-11,1,Lightning,225,A,34.29972222,-117.6641667,
CA,San Diego,2012-8-1,9,Miscellaneous,214,A,34.14555556,-117.7738889,
CA,San Diego,2012-6-6,2,Equipment Use,158,A,34.41611111,-118.0897222,
CA,San Diego,2012-9-23,9,Miscellaneous,267,A,34.37972222,-117.6919444,
CA,San Diego,2012-1-17,9,Miscellaneous,17,A,34.33916667,-118.3422222,
CA,San Diego,2012-7-4,4,Campfire,186,B,34.28888889,-118.2461111,
CA,San Diego,2012-7-8,4,Campfire,190,A,34.54472222,-118.5605556,
CA,San Diego,2012-1-9,9,Miscellaneous,9,A,34.46222222,-118.1125,
CA,San Diego,2012-9-23,2,Equipment Use,267,B,34.68861111,-118.7866667,
CA,San Diego,2012-10-25,9,Miscellaneous,299,C,34.415,-118.5163889,
CA,San Diego,2012-1-25,2,Equipment Use,25,A,34.47694444,-118.1688889,
CA,San Diego,2012-5-12,2,Equipment Use,133,A,34.55,-118.6691667,
CA,San Diego,2012-1-20,2,Equipment Use,20,A,34.48333333,-118.2872222,
CA,San Diego,2012-9-12,1,Lightning,257,B,34.32416667,-117.8191667,
CA,San Diego,2012-4-2,4,Campfire,93,A,34.53472222,-118.3661111,
CA,San Diego,2012-4-2,7,Arson,93,A,34.19083333,-117.6794444,
CA,San Diego,2012-8-23,2,Equipment Use,236,A,34.27694444,-118.1722222,
CA,San Diego,2012-2-24,4,Campfire,56,A,34.54555556,-118.5638889,
CA,San Diego,2012-5-24,5,Debris Burning,145,A,34.63972222,-118.5036111,
CA,San Diego,2012-2-24,2,Equipment Use,55,A,34.46472222,-118.3408333,
CA,San Diego,2012-1-27,2,Equipment Use,27,A,34.22416667,-118.2180556,
CA,San Diego,2012-6-29,2,Equipment Use,181,A,34.60277778,-118.7119444,
CA,San Diego,2012-10-25,2,Equipment Use,299,A,34.28555556,-118.2252778,
CA,San Diego,2012-11-12,2,Equipment Use,317,A,34.61083333,-118.2683333,
CA,San Diego,2012-7-9,2,Equipment Use,191,A,34.46222222,-117.8647222,
CA,San Diego,2012-10-23,9,Miscellaneous,297,A,34.34111111,-118.3525,
CA,San Diego,2012-3-2,2,Equipment Use,62,A,34.22444444,-117.7336111,
CA,San Diego,2012-4-28,4,Campfire,119,A,34.28861111,-118.1941667,
CA,San Diego,2012-1-9,2,Equipment Use,9,A,34.77055556,-118.7569444,
CA,San Diego,2012-8-28,9,Miscellaneous,241,B,34.485,-118.1416667,
CA,San Diego,2012-7-27,2,Equipment Use,209,A,34.43888889,-118.2269444,
CA,San Diego,2012-9-2,2,Equipment Use,286,F,34.23833333,-117.8130556,
CA,San Diego,2012-11-9,7,Arson,314,A,34.21,-117.8027778,
CA,San Diego,2012-3-31,2,Equipment Use,91,B,34.69916667,-118.7925,
CA,San Diego,2012-5-15,2,Equipment Use,136,A,34.67305556,-118.4555556,
CA,San Diego,2012-7-1,2,Equipment Use,183,B,34.33944444,-118.5063889,
CA,San Diego,2012-9-13,9,Miscellaneous,257,B,34.57388889,-118.6938889,
CA,San Diego,2012-9-16,2,Equipment Use,260,A,34.47111111,-118.3188889,
CA,San Diego,2012-8-29,2,Equipment Use,242,A,34.43416667,-118.3805556,
CA,San Diego,2012-10-17,2,Equipment Use,291,B,34.59638889,-118.4530556,
CA,Los Angeles,2012-8-30,1,Lightning,244,A,37.48222222,-118.935,
CA,Los Angeles,2012-8-9,9,Miscellaneous,222,A,36.70083333,-119.0097222,
